eta  ,mu  ,layers ,neurons ,offline ,error_function ,train_mean  ,train_std   ,test_mean   ,test_std
0.01 ,0.3 ,     1 ,     16 ,      0 ,             1 ,0.0374182   ,0.000800303 ,0.0374182   ,0.000800303
0.01 ,0.3 ,     1 ,     16 ,      1 ,             0 ,0.0015709   ,0.000131998 ,0.0015709   ,0.000131998
0.01 ,0.3 ,     1 ,     16 ,      1 ,             1 ,0.0381756   ,0.000928728 ,0.0381756   ,0.000928728
0.01 ,0.3 ,     1 ,     32 ,      0 ,             0 ,0.00117576  ,9.25702e-05 ,0.00117576  ,9.25702e-05
0.01 ,0.3 ,     1 ,     32 ,      0 ,             1 ,0.033925    ,0.000836803 ,0.033925    ,0.000836803
0.01 ,0.3 ,     1 ,     32 ,      1 ,             0 ,0.00121263  ,8.19456e-05 ,0.00121263  ,8.19456e-05
0.01 ,0.3 ,     1 ,     32 ,      1 ,             1 ,0.0350494   ,0.000773718 ,0.0350494   ,0.000773718
0.01 ,0.3 ,     1 ,     64 ,      0 ,             0 ,0.000893392 ,0.000208699 ,0.000893392 ,0.000208699
0.01 ,0.3 ,     1 ,     64 ,      0 ,             1 ,0.430285    ,0.497702    ,0.430285    ,0.497702
0.01 ,0.3 ,     1 ,     64 ,      1 ,             0 ,0.00097521  ,6.8435e-05  ,0.00097521  ,6.8435e-05
0.01 ,0.3 ,     1 ,     64 ,      1 ,             1 ,0.263677    ,0.461804    ,0.263677    ,0.461804
0.01 ,0.3 ,     2 ,      2 ,      0 ,             0 ,0.0565201   ,0.0990481   ,0.0565201   ,0.0990481
0.01 ,0.3 ,     2 ,      2 ,      0 ,             1 ,0.374238    ,0.228712    ,0.374238    ,0.228712
0.01 ,0.3 ,     2 ,      2 ,      1 ,             0 ,0.221289    ,0.194287    ,0.221289    ,0.194287
0.01 ,0.3 ,     2 ,      2 ,      1 ,             1 ,0.402153    ,0.268708    ,0.402153    ,0.268708
0.01 ,0.3 ,     2 ,      4 ,      0 ,             0 ,0.00217172  ,0.0008341   ,0.00217172  ,0.0008341
0.01 ,0.3 ,     2 ,      4 ,      0 ,             1 ,0.0986246   ,0.0394134   ,0.0986246   ,0.0394134
0.01 ,0.3 ,     2 ,      4 ,      1 ,             0 ,0.00261301  ,0.000980331 ,0.00261301  ,0.000980331
0.01 ,0.3 ,     2 ,      4 ,      1 ,             1 ,0.102711    ,0.0421825   ,0.102711    ,0.0421825
0.01 ,0.3 ,     2 ,      8 ,      0 ,             0 ,0.000961412 ,0.000214544 ,0.000961412 ,0.000214544
0.01 ,0.3 ,     2 ,      8 ,      0 ,             1 ,0.0390433   ,0.00706097  ,0.0390433   ,0.00706097
0.01 ,0.3 ,     2 ,      8 ,      1 ,             0 ,0.000964276 ,0.000181289 ,0.000964276 ,0.000181289
0.01 ,0.3 ,     2 ,      8 ,      1 ,             1 ,0.0404399   ,0.00768633  ,0.0404399   ,0.00768633
0.01 ,0.3 ,     2 ,     16 ,      0 ,             0 ,0.000934286 ,0.00027314  ,0.000934286 ,0.00027314
0.01 ,0.3 ,     2 ,     16 ,      0 ,             1 ,0.033498    ,0.00374076  ,0.033498    ,0.00374076
0.01 ,0.3 ,     2 ,     16 ,      1 ,             0 ,0.000889903 ,0.000305953 ,0.000889903 ,0.000305953
0.01 ,0.3 ,     2 ,     16 ,      1 ,             1 ,0.0334986   ,0.00329309  ,0.0334986   ,0.00329309
0.01 ,0.3 ,     2 ,     32 ,      0 ,             0 ,0.000719942 ,8.58565e-05 ,0.000719942 ,8.58565e-05
0.01 ,0.3 ,     2 ,     32 ,      0 ,             1 ,0.0260023   ,0.00162913  ,0.0260023   ,0.00162913
0.01 ,0.3 ,     2 ,     32 ,      1 ,             0 ,0.000606173 ,6.42502e-05 ,0.000606173 ,6.42502e-05
0.01 ,0.3 ,     2 ,     32 ,      1 ,             1 ,0.0266042   ,0.000926806 ,0.0266042   ,0.000926806
0.01 ,0.3 ,     2 ,     64 ,      0 ,             0 ,0.000316437 ,0.000109299 ,0.000316437 ,0.000109299
0.01 ,0.3 ,     2 ,     64 ,      0 ,             1 ,0.0149845   ,0.00251111  ,0.0149845   ,0.00251111
0.01 ,0.3 ,     2 ,     64 ,      1 ,             0 ,0.000462194 ,1.91308e-05 ,0.000462194 ,1.91308e-05
0.01 ,0.3 ,     2 ,     64 ,      1 ,             1 ,0.0206612   ,0.000509614 ,0.0206612   ,0.000509614
0.01 ,0.3 ,     3 ,      2 ,      0 ,             0 ,0.453688    ,0.0642223   ,0.453688    ,0.0642223
0.01 ,0.3 ,     3 ,      2 ,      0 ,             1 ,0.66662     ,0.0526191   ,0.66662     ,0.0526191
0.01 ,0.3 ,     3 ,      2 ,      1 ,             0 ,0.467608    ,0.0655318   ,0.467608    ,0.0655318
0.01 ,0.3 ,     3 ,      2 ,      1 ,             1 ,0.66263     ,0.061251    ,0.66263     ,0.061251
0.01 ,0.3 ,     3 ,      4 ,      0 ,             0 ,0.00226652  ,0.000662528 ,0.00226652  ,0.000662528
0.01 ,0.3 ,     3 ,      4 ,      0 ,             1 ,0.40241     ,0.220816    ,0.40241     ,0.220816
0.01 ,0.3 ,     3 ,      4 ,      1 ,             0 ,0.201614    ,0.244416    ,0.201614    ,0.244416
0.01 ,0.3 ,     3 ,      4 ,      1 ,             1 ,0.420624    ,0.268846    ,0.420624    ,0.268846
0.01 ,0.3 ,     3 ,      8 ,      0 ,             0 ,0.00097159  ,0.000426058 ,0.00097159  ,0.000426058
0.01 ,0.3 ,     3 ,      8 ,      0 ,             1 ,0.0690399   ,0.0497333   ,0.0690399   ,0.0497333
0.01 ,0.3 ,     3 ,      8 ,      1 ,             0 ,0.382056    ,0.19443     ,0.382056    ,0.19443
0.01 ,0.3 ,     3 ,      8 ,      1 ,             1 ,0.304976    ,0.317405    ,0.304976    ,0.317405
0.01 ,0.3 ,     3 ,     16 ,      0 ,             0 ,0.0996287   ,0.198336    ,0.0996287   ,0.198336
