**********
SEED 1
**********
Running Online Backpropagation...
Iteration 385	 Training error: 1.21889	 Test error: 1.13407
Iteration 386	 Training error: 1.21889	 Test error: 1.13407
Iteration 387	 Training error: 1.21889	 Test error: 1.13407
Iteration 388	 Training error: 1.21889	 Test error: 1.13407
Iteration 389	 Training error: 1.21889	 Test error: 1.13407
Iteration 390	 Training error: 1.21889	 Test error: 1.13407
Iteration 391	 Training error: 1.21889	 Test error: 1.13407
Iteration 392	 Training error: 1.21889	 Test error: 1.13407
Iteration 393	 Training error: 1.21889	 Test error: 1.13407
Iteration 394	 Training error: 1.21889	 Test error: 1.13407
Iteration 395	 Training error: 1.21889	 Test error: 1.13407
Iteration 396	 Training error: 1.21889	 Test error: 1.13407
Iteration 397	 Training error: 1.21889	 Test error: 1.13407
Iteration 398	 Training error: 1.21889	 Test error: 1.13407
Iteration 399	 Training error: 1.21889	 Test error: 1.13407
Iteration 400	 Training error: 1.21889	 Test error: 1.13407
Iteration 401	 Training error: 1.21889	 Test error: 1.13407
Iteration 402	 Training error: 1.21889	 Test error: 1.13407
Iteration 403	 Training error: 1.21889	 Test error: 1.13407
Iteration 404	 Training error: 1.21889	 Test error: 1.13407
Iteration 405	 Training error: 1.21889	 Test error: 1.13407
Iteration 406	 Training error: 1.21889	 Test error: 1.13407
Iteration 407	 Training error: 1.21889	 Test error: 1.13407
Iteration 408	 Training error: 1.21889	 Test error: 1.13407
Iteration 409	 Training error: 1.21889	 Test error: 1.13407
Iteration 410	 Training error: 1.21889	 Test error: 1.13407
Iteration 411	 Training error: 1.21889	 Test error: 1.13407
Iteration 412	 Training error: 1.21889	 Test error: 1.13407
Iteration 413	 Training error: 1.21889	 Test error: 1.13407
Iteration 414	 Training error: 1.21889	 Test error: 1.13407
Iteration 415	 Training error: 1.21889	 Test error: 1.13407
Iteration 416	 Training error: 1.21889	 Test error: 1.13407
Iteration 417	 Training error: 1.21889	 Test error: 1.13407
Iteration 418	 Training error: 1.21889	 Test error: 1.13407
Iteration 419	 Training error: 1.21889	 Test error: 1.13407
Iteration 420	 Training error: 1.21889	 Test error: 1.13407
Iteration 421	 Training error: 1.21889	 Test error: 1.13407
Iteration 422	 Training error: 1.21889	 Test error: 1.13407
Iteration 423	 Training error: 1.21889	 Test error: 1.13407
Iteration 424	 Training error: 1.21889	 Test error: 1.13407
Iteration 425	 Training error: 1.21889	 Test error: 1.13407
Iteration 426	 Training error: 1.21889	 Test error: 1.13407
Iteration 427	 Training error: 1.21889	 Test error: 1.13407
Iteration 428	 Training error: 1.21889	 Test error: 1.13407
Iteration 429	 Training error: 1.21889	 Test error: 1.13407
Iteration 430	 Training error: 1.21889	 Test error: 1.13407
Iteration 431	 Training error: 1.21889	 Test error: 1.13407
Iteration 432	 Training error: 1.21889	 Test error: 1.13407
Iteration 433	 Training error: 1.21889	 Test error: 1.13407
Iteration 434	 Training error: 1.21889	 Test error: 1.13407
Iteration 435	 Training error: 1.21889	 Test error: 1.13407
Iteration 436	 Training error: 1.21889	 Test error: 1.13407
Iteration 437	 Training error: 1.21889	 Test error: 1.13407
Iteration 438	 Training error: 1.21889	 Test error: 1.13407
Iteration 439	 Training error: 1.21889	 Test error: 1.13407
Iteration 440	 Training error: 1.21889	 Test error: 1.13407
Iteration 441	 Training error: 1.21889	 Test error: 1.13407
Iteration 442	 Training error: 1.21889	 Test error: 1.13407
Iteration 443	 Training error: 1.21889	 Test error: 1.13407
Iteration 444	 Training error: 1.21889	 Test error: 1.13407
Iteration 445	 Training error: 1.21889	 Test error: 1.13407
Iteration 446	 Training error: 1.21889	 Test error: 1.13407
Iteration 447	 Training error: 1.21889	 Test error: 1.13407
Iteration 448	 Training error: 1.21889	 Test error: 1.13407
Iteration 449	 Training error: 1.21889	 Test error: 1.13407
Iteration 450	 Training error: 1.21889	 Test error: 1.13407
Iteration 451	 Training error: 1.21889	 Test error: 1.13407
Iteration 452	 Training error: 1.21889	 Test error: 1.13407
Iteration 453	 Training error: 1.21889	 Test error: 1.13407
Iteration 454	 Training error: 1.21889	 Test error: 1.13407
Iteration 455	 Training error: 1.21889	 Test error: 1.13407
Iteration 456	 Training error: 1.21889	 Test error: 1.13407
